rank,side,term,tfidf
547,right,boston_globe,0.0151050769662
548,right,social_conservatives,0.0151050769662
549,right,august_9_2016,0.0150817306339
550,right,getting_ready,0.0150583843017
551,right,taking_care,0.0150583843017
552,right,dating_back,0.0150583843017
553,right,mass_destruction,0.0150350379694
554,right,hillary_clinton_would,0.0150116916372
555,right,youll_see,0.0149883453049
556,right,54_percent,0.0149883453049
557,right,pledged_allegiance,0.0149883453049
558,right,foreign_countries,0.0149883453049
559,right,clintons_presidential_campaign,0.0149649989727
560,right,all-time_high,0.0149649989727
561,right,may_find,0.0149649989727
562,right,take_responsibility,0.0149649989727
563,right,would_no_longer,0.0149416526404
564,right,july_5_2016,0.0149416526404
565,right,hotel_room,0.0149416526404
566,right,emergency_room,0.0149183063082
567,right,brexit_vote,0.0149183063082
568,right,new_zealand,0.0148949599759
569,right,bryan_pagliano,0.0148716136437
570,right,2016_presidential_race,0.0148482673114
571,right,bashar_al-assad,0.0148482673114
572,right,last_december,0.0148482673114
573,right,black_panther_party,0.0148249209792
574,right,double_digits,0.0148015746469
575,right,western_europe,0.0148015746469
576,right,im_talking,0.0147782283147
577,right,silent_majority,0.0147782283147
578,right,nov_8,0.0147548819824
579,right,radio_interview,0.0147315356502
580,right,war_hero,0.0147315356502
581,right,bill_maher,0.0147081893179
582,right,sen_ted_cruz_r-texas,0.0147081893179
583,right,lois_lerner,0.0146848429856
584,right,another_reason,0.0146848429856
585,right,republican_field,0.0146614966534
586,right,come_under_fire,0.0146614966534
587,right,past_decade,0.0146381503211
588,right,wide_range,0.0146381503211
589,right,roman_catholic,0.0146381503211
590,right,became_clear,0.0146148039889
591,right,active_shooter,0.0145681113244
592,right,birthright_citizenship,0.0145214186599
593,right,old_testament,0.0145214186599
594,right,homosexual_marriage,0.0145214186599
595,right,south_america,0.0145214186599
596,right,nazi_germany,0.0145214186599
597,right,isis_terrorists,0.0144980723276
598,right,sen_bernie_sanders_i-vt,0.0144747259954
599,right,fellow_citizens,0.0144747259954
600,right,10_minutes,0.0144747259954
601,right,fellow_americans,0.0144747259954
602,right,defeat_isis,0.0144513796631
603,right,attempted_murder,0.0144280333309
604,right,since_2010,0.0144280333309
605,right,general_counsel,0.0144046869986
606,right,classified_documents,0.0143813406664
607,right,posted_online,0.0143813406664
608,right,joint_chiefs,0.0143579943341
609,right,go_forward,0.0143579943341
610,right,planned_parenthood_videos,0.0143346480019
611,right,last_august,0.0143346480019
612,right,oh_yeah,0.0142879553374
613,right,closer_look,0.0142646090051
614,right,congressional_districts,0.0142412626729
615,right,little_better,0.0142412626729
616,right,house_armed_services_committee,0.0142412626729
617,right,welfare_state,0.0142179163406
618,right,presumptive_democratic_nominee,0.0141945700084
619,right,september_6_2016,0.0141712236761
620,right,san_francisco_49ers,0.0141712236761
621,right,march_10,0.0141712236761
622,right,well_aware,0.0141712236761
623,right,inner_cities,0.0141245310116
624,right,cant_wait,0.0141245310116
625,right,western_countries,0.0141011846794
626,right,september_1_2016,0.0141011846794
627,right,high_profile,0.0141011846794
628,right,58_percent,0.0141011846794
629,right,95_percent,0.0140778383471
630,right,security_measures,0.0140778383471
631,right,public_square,0.0140544920149
632,right,august_29_2016,0.0140544920149
633,right,bill_cosby,0.0140544920149
634,right,62_percent,0.0140544920149
635,right,presumptive_republican_nominee_donald,0.0140077993504
636,right,65_percent,0.0140077993504
637,right,temporary_ban,0.0140077993504
638,right,working_together,0.0140077993504
639,right,anywhere_else,0.0139844530181
640,right,coming_weeks,0.0139611066859
641,right,politically_motivated,0.0139377603536
642,right,news_coverage,0.0139377603536
643,right,drivers_license,0.0139377603536
644,right,raise_awareness,0.0139377603536
645,right,like_hillary_clinton,0.0139144140214
646,right,rights_reserved,0.0139144140214
647,right,across_europe,0.0139144140214
648,right,small_town,0.0138677213569
649,right,august_16_2016,0.0138677213569
650,right,local_hospital,0.0138677213569
651,right,theres_no_doubt,0.0138677213569
652,right,special_prosecutor,0.0138210286924
653,right,august_19_2016,0.0138210286924
654,right,15_an_hour,0.0138210286924
655,right,personal_email_account,0.0137976823601
656,right,notre_dame,0.0137976823601
657,right,morgan_stanley,0.0137976823601
658,right,gun-free_zones,0.0137743360279
659,right,much_longer,0.0137509896956
660,right,rick_scott,0.0137509896956
661,right,homeless_man,0.0137509896956
662,right,july_20_2016,0.0137042970311
663,right,desperately_need,0.0137042970311
664,right,heidi_cruz,0.0137042970311
665,right,per_month,0.0137042970311
666,right,next_step,0.0137042970311
667,right,gain_access,0.0136576043666
668,right,july_7_2016,0.0136576043666
669,right,november_2014,0.0136342580344
670,right,student_body,0.0136109117021
671,right,ongoing_investigation,0.0136109117021
672,right,american_soldiers,0.0135875653699
673,right,violent_crimes,0.0135875653699
674,right,fair_game,0.0135642190376
675,right,chinese_government,0.0135642190376
676,right,youd_think,0.0135642190376
677,right,religious_groups,0.0135642190376
678,right,last_decade,0.0135642190376
679,right,two_counts,0.0135642190376
680,right,federal_agency,0.0135642190376
681,right,theyve_got,0.0135408727054
682,right,youre_talking,0.0135175263731
683,right,cant_imagine,0.0134941800409
684,right,drug_dealers,0.0134941800409
685,right,el_salvador,0.0134708337086
686,right,muslim_terrorists,0.0134708337086
687,right,white_supremacists,0.0134708337086
688,right,apple_watch,0.0134708337086
689,right,green_energy,0.0134241410441
690,right,playing_field,0.0134241410441
691,right,january_13_2016,0.0134241410441
692,right,last_september,0.0134241410441
